name,num_votes
Itzik Shmuli,6413
Nachman Shai,6148
Roy Folkman,6090
Yehiel Bar,5978
Anat Berko,5788
Tali Ploskov,5612
Mickey Levi,5517
Avraham Neguise,5471
Michal Rozin,5344
Nurit Koren,5328
Uri Maklev,5300
Meirav Ben-Ari,5292
Haim Yelin,5247
Nissan Slomiansky,5142
Dov Khenin,5075
David Bitan,5049
Omer Bar-Lev,5040
Ilan Gilon,5033
Yifat Shasha-Biton,5033
Michal Biran,5029
Tamar Zandberg,5022
Eitan Cabel,5013
Bezalel Smotrich,4942
Nava Boker,4937
Merav Michaeli,4924
Stav Shaffir,4906
Issawi Frej,4903
Eli Ben-Dahan,4897
Eli Alaluf,4877
Shuli Mualem,4829
Yitzhak Vaknin,4771
Yoav Kish,4759
Moti Yogev,4716
Meir Cohen,4705
Michael Oren,4694
Ya'akov Margi,4693
Eliezer Moses,4692
Eitan Broshi,4668
Eyal Ben-Reuven,4655
Yoel Hasson,4649
Ayelet Nahmias-Verbin,4633
David Amsalem,4631
Yael German,4623
Mickey Zohar,4610
Abd al-Hakim Hajj Yahya,4591
Oded Forer,4580
Akram Hasson,4480
Revital Swid,4477
Yisrael Eichler,4429
Benny Begin,4380
Yariv Levin,4336
Moshe Gafni,4326
Rachel Azaria,4301
Elazar Stern,4290
Shelly Yachimovich,4263
Sharren Haskel,4262
Yaron Mazuz,4253
Aida Touma-Suleiman,4248
Yael Cohen-Paran,4160
Mickey Rosenthal,4158
Yuli Edelstein,4154
Ksenia Svetlova,4152
Hamad Amar,4129
Tzachi HaNegbi,4125
Zouheir Bahloul,4111
Ayoob Kara,4106
Uri Ariel,4105
Yuval Steinitz,4078
Yossi Yona,4074
Robert Ilatov,4067
Avi Dichter,4056
Jackie Levi,4005
Yoav Ben-Tzur,3970
Aliza Lavie,3867
Yousef Jabareen,3791
Michael Malchieli,3754
Karin Elharar,3747
Yoel Razvozov,3746
Sofa Landver,3685
Ayman Odeh,3678
Amir Ohana,3667
Ze'ev Elkin,3613
Masud Ghnaim,3593
Eli Cohen,3587
Ofer Shelah,3544
Meshulam Nahari,3433
Tzippi Livni,3416
Ya'akov Asher,3408
Yoav Galant,3401
Yulia Malinovsky,3385
Yehuda Glick,3359
Ofir Akunis,3335
Yitzhak Hertzog,3282
Gilad Erdan,3269
Miri Regev,3252
Tzipi Hotovely,3162
Ya'akov Litzman,3150
Taleb Abu Arar,3012
Mossi Raz,2974
Yitzhak Cohen,2957
Oren Hazan,2926
Amir Peretz,2916
Ahmad Tibi,2911
Israel Katz,2902
Orly Levy,2746
Gila Gamliel,2695
Ayelet Shaked,2625
Haneen Zoabi,2551
Yair Lapid,2535
Yaakov Peri,2473
Haim Katz,2438
Zehava Galon,2367
Jamal Zehalka,2346
Leah Fadida,2327
David Azoulay,2305
Abdullah Abu Ma'aruf,2201
Juma Azbarga,2199
Said al-Harumi,2056
Osama Saadi,1989
Benjamin Netanyahu,1972
Manuel Trajtenberg,1908
Erel Margalit,1885
Naftali Bennett,1877
Saleh Saad,1707
Danny Saida,1691
Yinon Azulai,1651
Meir Porush,1262
Yigal Guetta,1247
Pnina Tamano-Shata,1200
Basel Ghattas,1199
Moshe Ya'alon,900
Yinon Magal,861
Aryeh Deri,766
Avigdor Lieberman,725
Daniel Atar,708
Moshe Kahlon,638
Youssef Atauna,635
Wael Younis,510
Silvan Shalom,483
Moshe Mizrahi,235
Danny Danon,197
Robert Tiviaev,172
Sharon Gal,163
Shai Piron,147
Niven Abu Rahmoun,134
Osnat Mark,124
Elazar Stern,22
